Place,Bib,Name,Gender,Chip Time,Chip Pace,Division,Division Place,Time to Start,Gun Time
1,408,LARGE LOVERS ,I,01:28:30,06:45,Mixed,1 of 14,00:00:03,01:28:33
2,414,PACE SETTER BOMBERS ,I,01:35:51,07:19,Mixed,2 of 14,00:00:03,01:35:54
3,404,FRENCH TOAST MAFIA ,I,01:49:03,08:19,Mixed,3 of 14,00:00:02,01:49:05
4,402,CHOI'S TAEKWONDO ,I,01:50:47,08:27,Mixed,4 of 14,00:00:12,01:50:59
5,416,SHUFFLING AGAINST THE WIND! ,I,01:52:07,08:33,Mixed,5 of 14,00:00:57,01:53:04
6,415,QUADZILLA ,M,01:54:31,08:44,Male,1 of 1,00:00:06,01:54:37
7,421,WHAT'RE YOU FREAKS DOIN'? ,I,01:56:51,08:55,Mixed,6 of 14,00:00:04,01:56:55
8,406,HV RUNNING MAMAS ,F,01:56:56,08:55,Female,1 of 6,00:00:05,01:57:01
9,409,LEAVING 2016 IN THE DUST ,I,01:57:40,08:58,Mixed,7 of 14,00:00:13,01:57:53
10,405,GO FOR GOLD! ,I,01:58:47,09:04,Mixed,8 of 14,00:00:10,01:58:57
11,420,WE WERE FORCED TO DO THIS ,F,02:00:39,09:12,Female,2 of 6,00:00:44,02:01:23
12,417,STRAIGHT OUTTA GRESHAM ,F,02:01:05,09:14,Female,3 of 6,00:00:07,02:01:12
13,422,WOOT! WOOT! ,I,02:04:36,09:30,Mixed,9 of 14,00:00:10,02:04:46
14,419,THREE MANIACS AND A SLACKER ,I,02:05:01,09:32,Mixed,10 of 14,00:00:06,02:05:07
15,401,BABY IT'S COLD OUTSIDE ,F,02:09:58,09:55,Female,4 of 6,00:00:09,02:10:07
16,411,MARDI GRAS MADNESS ,I,02:11:01,10:00,Mixed,11 of 14,00:00:09,02:11:10
17,410,LUMBERINGJACKS ,I,02:12:21,10:06,Mixed,12 of 14,00:00:36,02:12:57
18,412,NEW YEARS EVE SHENANIGANS ,I,02:14:59,10:18,Mixed,13 of 14,00:00:11,02:15:10
19,418,THE BITCHES & THE BOY ,I,02:15:23,10:20,Mixed,14 of 14,00:00:10,02:15:33
20,407,KELSO NAUGHTY AND NICE ,F,02:19:47,10:40,Female,5 of 6,00:00:11,02:19:58
21,413,ONLY DEAD FISH GO WITHTHE FLOW ,F,02:25:29,11:06,Female,6 of 6,00:00:05,02:25:34
